ID,first_name,last_name,date_of_birth,gender,email,MSISDN,agree_for_promo,autopay_card,customer_category,language,customer_since,region,status
38,英樹,加藤,1986-07-15,F,D*******4@gmail.com,90-0158-8475,No,Yes,physical,Japanese,2008-05-26,Kansai(Kinki),Active
39,幹,福田,1981-11-23,M,n*******7@yahoo.com,90-2700-4874,Yes,Yes,physical,Japanese,2015-06-22,Kantō,Active
40,桃子,渡辺,1999-11-06,M,I*******7@gmail.com,90-0871-7415,No,Yes,physical,Japanese,2021-01-10,Kantō,Active
41,幹,佐藤,1976-08-21,F,w*******2@hotmail.com,90-8018-1251,No,No,physical,Japanese,2011-03-20,Chūbu,Active
42,聡太郎,池田,1944-12-20,M,K*******8@hotmail.com,90-4826-8917,No,Yes,physical,Japanese,2021-09-29,Kantō,Active
43,零,森,1969-03-20,F,F*******5@hotmail.com,90-8480-0177,No,No,physical,Japanese,2021-08-02,Kansai(Kinki),Active
44,稔,橋本,2003-08-20,M,h*******1@yahoo.com,90-2494-4589,No,Yes,physical,Japanese,2018-11-24,Kyūshū & Okinawa,Active
45,京助,加藤,1945-12-11,M,c*******0@hotmail.com,90-4534-6199,Yes,No,physical,Japanese,2017-04-19,Kantō,Active
46,幹,中島,1964-01-30,F,G*******7@yahoo.com,90-9188-6026,No,Yes,physical,Japanese,2016-01-18,Chūbu,Active
47,学,佐藤,1946-11-03,M,t*******6@hotmail.com,90-6012-9400,No,No,physical,Japanese,2016-01-11,Tōhoku,Active
48,結衣,吉田,1947-08-06,F,U*******8@gmail.com,90-4670-3877,No,Yes,physical,Japanese,2021-05-11,Kansai(Kinki),Active
49,春香,山田,1963-11-05,M,J*******1@gmail.com,90-5977-5450,No,Yes,physical,Japanese,2018-04-10,Kantō,Active
50,七夏,中川,1949-05-03,F,F*******4@gmail.com,90-2754-7874,No,Yes,physical,Japanese,2016-06-09,Kansai(Kinki),Active
51,直子,阿部,1978-11-26,F,k*******5@hotmail.com,90-5772-8630,Yes,Yes,physical,Japanese,2014-03-09,Kantō,Active
52,里佳,長谷川,1990-09-19,F,M*******0@gmail.com,90-3555-5212,No,No,physical,Japanese,2018-03-09,Chūbu,Active
53,香織,加藤,1980-12-22,F,I*******2@gmail.com,90-6239-9474,No,Yes,physical,Japanese,2016-12-27,Chūbu,Active
54,拓真,中村,1977-05-24,M,n*******2@gmail.com,90-5510-1112,No,Yes,physical,Japanese,2003-08-26,Kantō,Active
55,あすか,岡田,1973-11-29,M,Z*******0@yahoo.com,90-0771-6223,Yes,Yes,physical,Japanese,2013-02-21,Kansai(Kinki),Active
56,直人,小川,1958-12-07,F,j*******6@gmail.com,90-9442-2405,No,No,physical,Japanese,2010-09-13,Chūbu,Active
57,康弘,山田,1973-08-18,M,C*******9@gmail.com,90-1592-9319,No,Yes,physical,Japanese,2018-04-13,Kantō,Active
58,京助,佐藤,1976-08-12,F,x*******0@hotmail.com,90-8157-5681,No,Yes,physical,Japanese,2006-03-26,Hokkaidō,Active
59,あすか,佐藤,1955-07-15,M,g*******5@yahoo.com,90-1095-9066,No,No,physical,Japanese,2017-02-14,Kantō,Active
60,あすか,阿部,1961-05-14,F,n*******4@hotmail.com,90-4590-5526,No,Yes,physical,Japanese,2014-11-03,Kansai(Kinki),Active
61,修平,中村,1972-10-09,F,y*******7@gmail.com,90-2428-4303,No,Yes,physical,Japanese,2013-05-22,Kantō,Active
62,明美,長谷川,1968-06-17,M,N*******1@gmail.com,90-9755-9626,No,Yes,business,Japanese,2011-03-30,Kantō,Active
63,太郎,山口,1964-08-22,F,w*******7@yahoo.com,90-3472-0762,No,No,business,Japanese,2001-10-21,Chūbu,Active
64,翔太,渡辺,1980-01-27,F,t*******1@gmail.com,90-6759-4915,No,No,physical,Japanese,2011-08-24,Kansai(Kinki),Active
65,直樹,高橋,1975-04-20,M,q*******6@yahoo.com,90-9083-2957,No,Yes,physical,Japanese,2017-01-01,Kantō,Active
66,拓真,石川,1991-03-24,F,Z*******6@gmail.com,90-4949-5370,No,Yes,physical,Japanese,2012-08-06,Tōhoku,Active
67,学,佐藤,1962-04-07,F,Z*******6@gmail.com,90-5627-0708,No,No,physical,Japanese,2016-08-18,Chūbu,Active
68,裕樹,佐藤,1943-04-11,F,u*******4@yahoo.com,90-4448-8960,Yes,Yes,physical,Japanese,2004-05-31,Hokkaidō,Active
69,翔太,高橋,1978-10-18,F,W*******0@yahoo.com,90-7287-8444,No,Yes,physical,Japanese,2005-05-08,Chūbu,Active
70,康弘,小林,1990-01-27,F,k*******9@gmail.com,90-8472-1735,No,Yes,physical,Japanese,2013-09-09,Shikoku,Active
71,浩,田中,1983-02-04,F,d*******2@yahoo.com,90-7331-5704,No,Yes,physical,Japanese,2021-02-12,Chūbu,Active
72,舞,吉田,1971-08-02,M,h*******6@gmail.com,90-7869-8701,No,No,physical,Japanese,2011-01-30,Chūbu,Active
73,康弘,近藤,1963-08-22,M,T*******2@yahoo.com,90-3367-9143,No,Yes,physical,Japanese,2022-01-09,Chūgoku,Active
74,涼平,佐藤,1967-09-06,F,o*******3@hotmail.com,90-6735-0783,No,Yes,physical,Japanese,2010-12-22,Hokkaidō,Active
75,知実,近藤,1979-02-14,M,d*******5@yahoo.com,90-6418-6273,Yes,No,physical,Japanese,2012-01-11,Chūbu,Active
76,幹,中村,1975-05-20,M,X*******7@hotmail.com,90-4448-5243,No,Yes,physical,Japanese,2015-07-29,Kantō,Active
77,加奈,山崎,1949-07-08,F,d*******3@hotmail.com,90-9570-5738,No,Yes,physical,Japanese,2020-03-08,Chūbu,Active
78,太一,藤井,2000-09-10,M,g*******1@gmail.com,90-7671-5261,Yes,Yes,physical,Japanese,2021-11-07,Kansai(Kinki),Active
79,春香,吉田,1959-06-02,M,C*******5@gmail.com,90-1128-4976,No,No,physical,Japanese,2018-05-18,Kantō,Active
80,修平,山口,1984-04-08,F,X*******9@gmail.com,90-3311-1450,Yes,Yes,business,Japanese,2002-05-08,Kantō,Active
81,結衣,林,1979-11-01,F,m*******2@hotmail.com,90-4357-7874,No,Yes,physical,Japanese,2015-04-08,Shikoku,Active
82,修平,鈴木,1959-01-12,F,R*******0@gmail.com,90-6906-8909,Yes,Yes,physical,Japanese,2010-01-12,Tōhoku,Active
83,くみ子,田中,1989-09-28,M,Y*******9@gmail.com,90-6442-4197,No,No,physical,Japanese,2019-01-01,Chūgoku,Active
84,晃,前田,1943-10-11,F,P*******7@yahoo.com,90-4884-3559,No,Yes,physical,Japanese,2011-03-27,Kantō,Active
85,里佳,森,1969-09-02,F,u*******3@gmail.com,90-5770-2978,No,No,physical,Japanese,2018-09-24,Kansai(Kinki),Active
86,淳,山田,2002-05-18,M,S*******3@yahoo.com,90-8419-4353,No,Yes,physical,Japanese,2018-07-16,Kansai(Kinki),Active
87,あすか,木村,1968-08-12,M,N*******0@hotmail.com,90-2642-8825,No,No,physical,Japanese,2007-07-26,Tōhoku,Active
88,直樹,池田,1946-07-12,F,t*******2@yahoo.com,90-6857-3945,Yes,Yes,physical,Japanese,2018-07-07,Kantō,Active
89,七夏,佐藤,1958-07-18,F,I*******4@yahoo.com,90-0006-5777,No,Yes,physical,Japanese,2001-08-12,Kyūshū & Okinawa,Active
90,英樹,小川,1989-05-08,M,r*******1@hotmail.com,90-5230-4304,No,Yes,physical,Japanese,2015-06-12,Shikoku,Active
91,淳,田中,1948-05-24,F,U*******2@hotmail.com,90-4266-5500,No,No,physical,Japanese,2001-11-01,Chūbu,Active
92,淳,渡辺,1979-08-15,F,S*******1@hotmail.com,90-5056-6456,No,Yes,physical,Japanese,2020-04-17,Tōhoku,Active
93,京助,坂本,1949-12-14,M,P*******7@yahoo.com,90-2397-0744,Yes,Yes,physical,Japanese,2020-09-02,Chūgoku,Active
94,陽子,鈴木,1995-04-26,F,Q*******5@hotmail.com,90-2207-5898,No,Yes,physical,Japanese,2016-03-14,Hokkaidō,Active
95,陽一,石川,2005-04-02,F,x*******0@hotmail.com,90-8803-0523,No,No,physical,Japanese,2020-07-16,Kyūshū & Okinawa,Active
96,里佳,山本,1940-08-29,F,l*******2@hotmail.com,90-3001-1327,No,No,physical,Japanese,2020-06-26,Kantō,Active
97,和也,岡田,1996-12-10,F,C*******9@yahoo.com,90-4080-6094,Yes,No,physical,Japanese,2015-03-15,Kansai(Kinki),Active
98,里佳,山口,1996-08-28,F,v*******5@gmail.com,90-0562-9723,No,No,physical,Japanese,2016-10-07,Kantō,Active
99,健一,田中,1941-06-08,F,m*******0@gmail.com,90-6548-4870,No,No,physical,Japanese,2010-12-10,Kansai(Kinki),Active
100,涼平,松田,1973-05-16,F,d*******4@yahoo.com,90-8924-7741,Yes,Yes,business,Japanese,2001-12-27,Kantō,Active
101,陽一,山下,1947-07-03,F,g*******5@gmail.com,90-9741-1663,No,Yes,physical,Japanese,2011-02-05,Kantō,Active
102,舞,松本,2003-09-06,F,x*******1@hotmail.com,90-7453-5168,No,Yes,physical,Japanese,2021-08-10,Kansai(Kinki),Active
103,直子,田中,1968-03-08,M,R*******7@hotmail.com,90-9970-2248,Yes,No,physical,Japanese,2016-09-27,Kantō,Active
104,浩,佐々木,1967-01-24,M,f*******1@hotmail.com,90-2069-5172,Yes,No,physical,Japanese,2012-04-12,Kantō,Active
105,健一,山本,1999-02-25,F,y*******8@hotmail.com,90-9734-6042,Yes,Yes,physical,Japanese,2014-09-23,Kantō,Active
106,幹,阿部,1942-06-20,M,v*******6@gmail.com,90-1903-7240,Yes,No,physical,Japanese,2015-11-30,Tōhoku,Active
107,知実,渡辺,1986-03-21,F,V*******1@gmail.com,90-6351-5788,Yes,Yes,physical,Japanese,2013-08-17,Chūbu,Active
108,智也,清水,1942-08-19,M,i*******4@yahoo.com,90-6099-5351,Yes,No,physical,Japanese,2012-11-22,Shikoku,Active
109,裕美子,斎藤,1954-03-04,F,c*******8@yahoo.com,90-7584-8447,No,No,physical,Japanese,2011-06-08,Chūbu,Active
110,健一,田中,1976-04-26,M,g*******7@yahoo.com,90-6374-8558,No,Yes,physical,Japanese,2012-04-01,Tōhoku,Active
111,桃子,遠藤,1961-11-03,F,L*******1@hotmail.com,90-9685-2766,No,Yes,business,Japanese,2019-01-11,Kantō,Active
112,陽子,山本,1954-11-13,F,G*******7@yahoo.com,90-5990-1632,No,No,physical,Japanese,2017-11-24,Kansai(Kinki),Active
113,亮介,鈴木,1986-09-27,F,s*******7@gmail.com,90-2481-9583,No,No,physical,Japanese,2013-05-22,Kantō,Active
114,春香,清水,1980-11-25,M,f*******2@yahoo.com,90-3544-0690,Yes,Yes,physical,Japanese,2017-04-02,Shikoku,Active
115,拓真,加藤,1983-03-24,F,F*******8@yahoo.com,90-3848-8026,No,Yes,physical,Japanese,2013-12-25,Kantō,Active
116,あすか,渡辺,1989-02-07,F,T*******2@gmail.com,90-0551-1509,Yes,No,physical,Japanese,2015-09-21,Chūbu,Active
117,裕太,佐々木,1947-08-29,F,P*******3@yahoo.com,90-6845-4356,No,Yes,physical,Japanese,2022-01-05,Chūbu,Active
118,充,岡田,2002-12-02,M,p*******7@yahoo.com,90-0828-0851,Yes,No,physical,Japanese,2018-04-22,Kantō,Active
119,裕樹,清水,1991-06-07,M,s*******0@hotmail.com,90-4275-6007,No,No,physical,Japanese,2021-05-27,Kansai(Kinki),Active
120,充,山本,1957-01-08,F,h*******0@yahoo.com,90-1223-6233,No,No,physical,Japanese,2010-10-03,Kyūshū & Okinawa,Active
121,涼平,山本,1976-12-15,F,t*******1@hotmail.com,90-9084-0655,No,Yes,physical,Japanese,2010-08-31,Chūbu,Active
122,加奈,近藤,1988-05-17,F,i*******9@hotmail.com,90-1911-7423,No,Yes,physical,Japanese,2019-08-10,Kansai(Kinki),Active
123,修平,林,1985-04-09,M,U*******0@yahoo.com,90-8691-2665,No,Yes,physical,Japanese,2006-12-07,Kansai(Kinki),Active
124,真綾,三浦,1963-12-27,F,Y*******2@hotmail.com,90-6000-8180,No,No,physical,Japanese,2009-06-27,Shikoku,Active
125,智也,佐藤,1979-06-12,F,s*******2@gmail.com,90-5011-4895,Yes,No,physical,Japanese,2021-09-18,Tōhoku,Active
126,さゆり,高橋,1955-01-18,M,c*******4@hotmail.com,90-3130-9927,No,Yes,physical,Japanese,2016-10-01,Kansai(Kinki),Active
127,知実,後藤,1943-12-15,F,z*******6@hotmail.com,90-8081-2902,Yes,Yes,physical,Japanese,2003-02-18,Chūgoku,Active
128,結衣,鈴木,1968-02-26,F,P*******4@hotmail.com,90-8609-3327,No,Yes,physical,Japanese,2012-01-10,Chūgoku,Active
129,幹,林,2004-12-09,M,h*******7@gmail.com,90-1876-4641,No,Yes,physical,Japanese,2020-11-07,Kantō,Active
130,七夏,山口,1960-02-18,M,z*******9@yahoo.com,90-6503-8253,No,No,physical,Japanese,2000-01-26,Chūbu,Active
131,淳,後藤,1985-11-23,M,l*******6@gmail.com,90-9266-4357,Yes,Yes,physical,Japanese,2013-02-22,Kansai(Kinki),Active
132,桃子,高橋,1999-05-20,F,F*******4@hotmail.com,90-6915-9967,No,Yes,physical,Japanese,2015-11-06,Kantō,Active
133,直樹,岡本,1982-03-09,F,E*******2@hotmail.com,90-0247-1430,No,No,physical,Japanese,2012-02-05,Kyūshū & Okinawa,Active
134,学,長谷川,1972-08-05,M,Z*******8@gmail.com,90-1136-2450,Yes,Yes,physical,Japanese,2017-03-03,Kantō,Active
135,春香,林,1989-05-30,F,G*******7@gmail.com,90-3508-6110,Yes,No,physical,Japanese,2009-03-17,Chūgoku,Active
136,太郎,小林,1944-09-05,F,O*******9@hotmail.com,90-0451-4117,No,No,physical,Japanese,2018-12-29,Kantō,Active
137,さゆり,林,1991-05-04,F,n*******1@hotmail.com,90-8434-6643,Yes,No,physical,Japanese,2014-03-07,Kantō,Active
138,結衣,木村,1972-05-21,M,m*******8@hotmail.com,90-3092-4816,No,No,physical,Japanese,2012-02-03,Chūgoku,Active
139,香織,高橋,1950-05-18,M,U*******3@yahoo.com,90-8526-6305,Yes,Yes,physical,Japanese,2007-01-10,Chūgoku,Active
140,健一,田中,1993-02-21,M,j*******2@gmail.com,90-3262-5686,No,Yes,physical,Japanese,2015-05-28,Kyūshū & Okinawa,Active
141,修平,田中,1948-05-02,M,N*******9@gmail.com,90-2511-0318,No,No,physical,Japanese,2015-11-30,Kantō,Active
142,陽子,太田,1986-12-24,F,H*******2@yahoo.com,90-0268-6704,No,Yes,physical,Japanese,2016-11-17,Kansai(Kinki),Active
143,花子,遠藤,1976-01-07,M,P*******6@hotmail.com,90-7860-0362,No,Yes,physical,Japanese,2004-08-31,Kansai(Kinki),Active
144,直樹,西村,1961-10-03,F,k*******4@yahoo.com,90-4564-5841,No,Yes,physical,Japanese,2016-09-20,Kantō,Active
145,舞,田中,1953-11-25,F,C*******4@hotmail.com,90-9257-6095,Yes,Yes,physical,Japanese,2004-01-31,Kansai(Kinki),Active
146,里佳,佐藤,1972-11-28,F,M*******5@yahoo.com,90-2722-4917,No,Yes,physical,Japanese,2020-12-05,Kantō,Active
147,直子,藤原,1973-03-09,F,T*******7@yahoo.com,90-6240-0790,No,Yes,physical,Japanese,2010-09-01,Kantō,Active
148,花子,鈴木,1966-11-01,M,J*******6@hotmail.com,90-7535-4197,Yes,Yes,physical,Japanese,2020-11-22,Kantō,Active
149,春香,佐々木,1947-07-31,M,H*******2@gmail.com,90-4058-0113,Yes,No,physical,Japanese,2010-03-22,Kantō,Active
150,裕美子,小林,2003-12-07,M,G*******9@gmail.com,90-9190-7609,No,Yes,physical,Japanese,2020-05-26,Chūgoku,Active
151,亮介,林,1976-05-28,M,W*******0@hotmail.com,90-0091-4227,No,No,physical,Japanese,2013-07-08,Tōhoku,Active
152,春香,山本,1973-11-14,F,V*******4@yahoo.com,90-0875-9300,Yes,No,physical,Japanese,2013-01-28,Kantō,Active
153,拓真,松本,1979-09-02,M,q*******9@yahoo.com,90-2299-4310,No,No,physical,Japanese,2010-04-21,Kansai(Kinki),Active
154,裕太,松本,1998-11-22,M,l*******5@yahoo.com,90-6247-4013,Yes,No,physical,Japanese,2021-03-18,Kantō,Active
155,あすか,中村,2000-05-20,F,w*******4@yahoo.com,90-6446-9291,No,Yes,physical,Japanese,2020-06-02,Shikoku,Active
156,聡太郎,後藤,1992-10-20,M,I*******1@gmail.com,90-9576-4259,No,Yes,physical,Japanese,2021-06-14,Kyūshū & Okinawa,Active
157,裕美子,鈴木,2003-08-28,M,W*******5@gmail.com,90-1534-3215,No,Yes,physical,Japanese,2018-10-14,Chūgoku,Active
158,英樹,森,1964-05-31,F,r*******5@gmail.com,90-1533-9929,No,Yes,physical,Japanese,2018-12-09,Kantō,Active
159,洋介,田中,1944-11-24,M,V*******7@hotmail.com,90-4915-7965,No,Yes,physical,Japanese,2009-08-16,Kantō,Active
160,七夏,福田,1955-09-08,M,M*******9@gmail.com,90-4904-0787,No,Yes,physical,Japanese,2019-05-08,Kansai(Kinki),Active
161,篤司,鈴木,1940-03-19,F,l*******7@hotmail.com,90-8662-1383,No,Yes,physical,Japanese,2013-01-07,Kansai(Kinki),Active
162,淳,三浦,1975-01-11,M,R*******3@yahoo.com,90-2332-4772,No,Yes,physical,Japanese,2003-07-25,Kansai(Kinki),Active
163,七夏,小林,1962-03-08,M,T*******0@hotmail.com,90-8185-1982,Yes,No,physical,Japanese,2014-10-03,Kantō,Active
164,結衣,阿部,2003-10-21,M,D*******7@gmail.com,90-3300-2288,Yes,Yes,physical,Japanese,2021-10-24,Kyūshū & Okinawa,Active
165,健一,田中,1943-03-23,F,h*******9@gmail.com,90-5891-3578,No,No,physical,Japanese,2010-04-15,Chūgoku,Active
166,直人,斎藤,2000-01-31,M,f*******5@yahoo.com,90-0456-6694,No,Yes,business,Japanese,2017-05-20,Kantō,Active
167,零,佐藤,1983-03-21,M,g*******2@hotmail.com,90-3588-4334,No,Yes,physical,Japanese,2003-05-05,Kantō,Active
168,晃,山崎,1961-07-10,F,x*******1@gmail.com,90-1995-7579,Yes,No,physical,Japanese,2011-06-09,Chūbu,Active
169,直子,山田,1951-11-30,F,W*******0@yahoo.com,90-8123-5705,No,No,physical,Japanese,2017-10-06,Chūbu,Active
170,明美,松本,1974-01-23,F,w*******2@gmail.com,90-9635-3513,No,No,physical,Japanese,2002-03-13,Kansai(Kinki),Active
171,さゆり,伊藤,1975-02-17,M,K*******5@yahoo.com,90-2122-2830,Yes,No,physical,Japanese,2003-10-01,Kantō,Active
172,直子,太田,2000-05-17,M,s*******9@hotmail.com,90-7451-1866,No,Yes,physical,Japanese,2018-12-26,Kansai(Kinki),Active
173,結衣,井上,1951-04-22,F,C*******1@gmail.com,90-9414-6993,No,No,physical,Japanese,2021-02-18,Chūbu,Active
174,智也,中村,1969-07-28,F,u*******6@gmail.com,90-7389-7233,Yes,Yes,physical,Japanese,2006-07-19,Chūbu,Active
175,結衣,石井,2006-08-29,M,O*******5@gmail.com,90-6549-0472,Yes,Yes,physical,Japanese,2021-09-18,Kyūshū & Okinawa,Active
176,あすか,高橋,2007-01-18,M,g*******7@gmail.com,90-1628-9638,No,No,physical,Japanese,2022-01-25,Kansai(Kinki),Active
177,学,岡田,1964-10-12,M,N*******1@yahoo.com,90-8835-9245,No,Yes,physical,Japanese,2004-01-23,Kansai(Kinki),Active
178,花子,藤原,1965-08-31,M,l*******8@yahoo.com,90-3153-6144,Yes,No,physical,Japanese,2007-07-22,Hokkaidō,Active
179,零,石川,2006-03-03,M,n*******4@hotmail.com,90-3706-1315,No,Yes,physical,Japanese,2021-10-28,Chūgoku,Active
180,幹,三浦,2002-01-05,M,T*******9@yahoo.com,90-7517-2614,No,Yes,physical,Japanese,2021-08-18,Kantō,Active
181,修平,山口,1969-07-21,M,U*******2@hotmail.com,90-7476-1560,No,No,physical,Japanese,2016-07-30,Chūbu,Active
182,さゆり,鈴木,2001-04-15,F,w*******6@gmail.com,90-4956-4434,Yes,Yes,physical,Japanese,2020-10-23,Kyūshū & Okinawa,Active
183,翼,山崎,1946-10-17,F,L*******2@hotmail.com,90-7915-1401,No,No,physical,Japanese,2013-01-31,Kyūshū & Okinawa,Active
184,美加子,斎藤,2002-04-17,M,L*******2@gmail.com,90-9736-4082,No,Yes,physical,Japanese,2020-10-11,Kantō,Active
185,浩,小川,2001-07-27,F,H*******7@hotmail.com,90-9967-9814,Yes,No,physical,Japanese,2020-02-22,Kansai(Kinki),Active
186,加奈,遠藤,1951-08-03,M,h*******4@hotmail.com,90-4481-2495,No,Yes,business,Japanese,2012-02-01,Chūbu,Active
187,裕美子,青木,1969-12-25,M,C*******5@hotmail.com,90-6035-2396,No,Yes,physical,Japanese,2020-01-16,Kansai(Kinki),Active
188,加奈,太田,1943-09-25,F,t*******3@gmail.com,90-4942-3540,Yes,Yes,physical,Japanese,2016-01-23,Tōhoku,Active
189,春香,佐藤,1973-08-09,M,R*******3@gmail.com,90-9023-9320,No,Yes,physical,Japanese,2012-11-16,Kyūshū & Okinawa,Active
190,知実,佐藤,1998-12-29,M,t*******7@hotmail.com,90-9343-7350,No,Yes,physical,Japanese,2014-02-05,Kyūshū & Okinawa,Active
191,京助,伊藤,1974-02-24,M,G*******7@hotmail.com,90-3862-5891,No,No,physical,Japanese,2016-06-12,Chūbu,Active
192,春香,山口,1997-05-06,F,X*******4@hotmail.com,90-8079-7268,No,Yes,physical,Japanese,2013-01-23,Kansai(Kinki),Active
193,直樹,斎藤,1942-07-15,F,j*******5@yahoo.com,90-6065-1365,No,No,physical,Japanese,2021-09-18,Tōhoku,Active
194,あすか,吉田,1999-11-07,M,u*******1@hotmail.com,90-8650-2379,No,No,physical,Japanese,2018-01-13,Chūbu,Active
195,拓真,池田,1999-09-22,F,h*******6@hotmail.com,90-2189-0758,Yes,Yes,physical,Japanese,2019-10-19,Chūbu,Active
196,春香,高橋,1984-03-27,F,s*******0@gmail.com,90-9335-4431,Yes,No,physical,Japanese,2017-09-28,Kantō,Active
197,翔太,加藤,1957-11-25,F,D*******7@hotmail.com,90-8316-8530,No,Yes,physical,Japanese,2020-03-21,Kansai(Kinki),Active
198,智也,佐藤,1987-04-23,M,Z*******7@hotmail.com,90-3971-1556,No,Yes,physical,Japanese,2016-10-24,Kansai(Kinki),Active
199,香織,加藤,1969-10-28,M,B*******7@yahoo.com,90-7502-8162,No,Yes,physical,Japanese,2019-03-14,Chūgoku,Active
200,さゆり,井上,1940-06-11,M,T*******2@gmail.com,90-8050-5586,Yes,Yes,physical,Japanese,2021-02-07,Kantō,Active
